Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-08,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-08,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-08,2253,1
SHIROMANI AKALI DAL,TL,1000000,2019-05-07,2253,1
SHIROMANI AKALI DAL,TL,1000000,2019-05-07,2253,1
SHIROMANI AKALI DAL,TL,1000000,2019-05-07,2253,1
SHIROMANI AKALI DAL,TL,1000000,2019-05-07,2253,1
SHIROMANI AKALI DAL,TL,1000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-09,2586,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-09,2586,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-09,2586,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-09,2586,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-09,2586,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
ALL INDIA TRINAMOOL CONGRESS,OC,10000000,2019-05-07,2253,1
