Name of the Political Party,Prefix,Denominations,Journal Date,¶ÔÓ¦µÄlocal_node_id
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,460
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,143
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,143
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,143
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,143
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,15/Apr/2019,143
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2220
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2220
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2220
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2220
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,3557
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,3557
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,3557
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,3557
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,2777
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,1071
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,1071
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,1071
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,16/Apr/2019,1071
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
SHIVSENA,TL,1000000,16/Apr/2019,3102
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,2260
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,960
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,960
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,960
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,960
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,960
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,276
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,276
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,276
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,276
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,276
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3406
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3406
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3406
BHARATIYA JANATA PARTY,OC,10000000,12/Apr/2019,3406
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,15/Apr/2019,2655
BHARATIYA JANATA PARTY,OC,10000000,16/Apr/2019,717
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
BHARATIYA JANATA PARTY,OC,10000000,18/Apr/2019,2950
