Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2220,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2220,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2220,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2220,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,3557,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,3557,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,3557,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,3557,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,2777,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,1071,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,1071,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,1071,0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OL,100000,2019-04-16,1071,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
SHIVSENA,TL,1000000,2019-04-16,3102,0
